1,0	1
2,1	2
2,3	2
3,4	2
5,1	1
2,4	1
5,4	3
3,5	2
5,6	4
7,3	1
7,5	1
7,8	1
7,6	2
9,8	1
7,9	1
10,8	2
10,9	2
7,10	1
11,10	12
7,11	25
12,9	4
12,11	18
8,12	1
9,11	3
12,13	3
11,13	1
13,14	3
15,13	1
15,14	1
12,15	1
16,15	5
14,16	3
17,15	1
17,16	2
14,17	1
9,15	2
9,16	3
9,17	16
14,9	3
9,18	2
19,9	32
19,18	1
20,9	1
20,18	1
20,19	1
21,19	8
21,20	8
18,21	2
21,22	3
22,23	1
24,23	4
22,24	1
25,21	1
25,22	1
25,24	1
26,22	1
26,24	6
26,25	181
26,27	2
28,24	1
28,25	1
28,26	1
28,27	1
29,25	1
29,26	1
29,27	3
29,28	2
30,26	1
30,27	2
30,28	1
30,29	11
31,30	2
29,31	2
31,28	1
32,31	1
33,29	1
33,30	1
33,31	1
33,32	3
34,30	1
34,31	1
34,32	52
34,33	21
35,31	1
35,32	2
35,33	4
35,34	4
35,36	3
6,35	15
6,36	1
37,35	2
37,36	3
37,6	16
37,17	1
38,17	16
37,38	4
39,17	3
39,38	4
37,39	2
39,40	1
41,39	3
41,40	4
41,42	2
43,42	15
41,43	23
43,44	25
45,44	1
43,45	36
6,45	1
44,6	1
37,45	5
44,37	2
37,46	2
47,46	1
37,47	1
48,46	3
48,47	4
37,48	2
49,48	4
49,50	1
51,50	1
49,51	1
52,50	1
52,51	1
49,52	1
53,50	2
53,51	3
53,52	30
49,53	1
53,54	4
54,55	1
56,55	1
54,56	1
57,55	2
57,56	5
54,57	1
58,55	1
58,56	3
58,57	4
54,58	1
59,57	2
59,43	9
59,58	2
43,60	33
61,60	8
43,61	121
61,62	10
63,62	1
61,63	1
64,62	3
64,63	4
61,64	2
61,65	3
66,64	3
64,65	3
66,67	12
67,68	17
67,65	1
67,69	51
70,66	7
69,68	13
70,69	39
67,70	17
70,21	1
70,20	3
20,71	1
72,71	2
20,72	1
73,71	6
73,72	5
20,73	2
20,74	1
75,74	3
73,75	10
76,75	226
73,76	24
77,73	16
77,75	215
77,76	777
78,74	1
78,75	8
78,76	22
78,77	33
79,75	4
79,76	27
79,77	19
79,78	34
80,76	9
80,77	6
80,78	31
80,79	17
80,81	5
82,81	6
80,82	9
80,74	1
83,80	1
83,74	2
83,82	1
83,84	1
85,82	6
85,74	2
85,83	3
85,84	8
86,74	1
86,83	2
86,84	3
