3785,3919	1
4023,3785	2
5015,784	1
4023,5015	1
104,784	40
104,5015	1
4023,104	1
1622,784	2
1622,5015	2
1622,104	25
4023,1622	1
645,1622	1
205,5015	1
205,104	107
205,1622	2
205,645	4
2743,104	1
2743,1622	1
2743,645	1
2743,205	3
3785,1622	1
3785,645	1
3785,205	1
3785,2743	1
514,645	1
514,205	4
514,2743	3
514,3785	4
1168,514	8
1168,482	4
482,525	1
104,525	7
482,104	7
514,525	2
514,104	64
482,514	2
514,699	12
53,525	5
53,104	921
53,514	21
53,699	8
69,104	154
69,514	6
69,699	1
69,53	44
908,514	6
908,1168	20
1168,439	10
755,439	4
1168,755	3
755,66	22
699,66	1
755,699	1
53,66	3
755,53	4
1153,66	11
1153,699	5
1153,53	11
755,1153	3
514,66	1
514,1153	4
59,699	2
59,53	87
59,1153	22
59,514	9
59,1572	3
53,1572	5
755,525	4
66,229	1
99,66	3
99,229	13
755,99	2
99,699	6
1153,229	1
1153,99	5
356,229	6
356,99	44
356,699	20
356,1153	3
514,99	4
514,356	32
1168,27	20
4474,27	2
1168,4474	1
356,27	66
356,4474	2
1168,356	12
854,27	39
854,4474	1
854,356	72
1168,854	6
1512,27	6
1512,4474	1
1512,356	1
1512,854	5
56,4474	1
56,356	9
56,854	7
56,1512	1
514,854	3
514,1512	1
514,56	3
222,854	9
222,1512	8
222,56	12
222,514	12
132,222	7
132,1914	1
730,1914	4
132,730	2
4762,730	2
132,4762	1
235,4762	3
730,235	2
514,235	1
4762,514	1
505,514	1
235,505	4
284,514	2
284,505	1
235,284	3
516,235	5
516,514	8
516,505	3
516,284	9
100,516	7
100,188	261
104,188	86
100,104	8
100,519	1
356,519	8
100,356	8
356,104	97
59,104	191
356,59	28
188,519	5
188,356	33
188,59	32
1153,104	60
1153,188	47
56,104	12
56,59	7
56,188	18
56,1153	9
56,699	1
53,56	11
104,699	4
208,174	38
2222,2587	5
2222,1560	6
208,2222	4
104,2587	2
104,1560	8
104,2222	11
208,104	122
165,104	169
118,165	18
104,118	69
118,2222	1
85,118	4
85,381	1
140,381	1
85,140	1
784,381	1
784,140	11
85,784	1
356,381	2
356,140	6
356,784	128
85,356	4
356,355	30
356,1058	3
27,355	3
27,1058	93
53,355	1
53,356	13
53,1058	4
53,27	17
53,165	124
452,1058	5
452,27	45
452,53	21
452,165	139
2587,27	1
2587,53	1
2587,165	8
2587,452	1
162,165	50
162,452	20
162,2587	4
53,162	86
2511,165	3
2511,452	2
2511,2587	2
2511,162	4
2511,2534	2
1208,2587	1
1208,162	1
1208,2511	1
1208,2534	1
564,162	1
564,2511	1
564,2534	1
564,1208	4
2363,2511	1
2363,2534	2
2363,1208	3
2363,564	4
3411,2363	4
3411,59	1
135,59	102
3411,135	1
152,59	8
152,135	244
3411,152	2
207,3411	1
207,152	5
207,564	3
1681,564	5
207,1681	1
207,2701	1
967,2701	2
564,967	2
837,564	1
837,967	1
1929,564	1
1929,2701	1
1929,967	1
1929,837	1
16,2701	1
16,967	1
16,837	3
16,1929	2
1804,967	1
1804,837	2
1804,1929	1
1804,16	2
130,837	6
130,1929	6
130,16	10
130,1804	9
130,1143	4
138,130	12
